Council,Score
Rossendale Borough Council,15
Fylde Council,23
Preston City Council,28
Blackburn with Darwin Council,52
Burnley Borough Council,69
South Ribble Borough Council,73
Lancaster City Council,75
Ribble Valley Borough Council,76
Chorley Council,78
West Lancashire Borough Council,79
Hyndburn Borough Council,81
Blackpool Council,83
Wyre Council,85
Pendle Borough Council,88

